ts,best_bid,bid_size,best_ask,ask_size,mid
1787313166.1,ERR,HTTP Error 404: Not Found,,,
1787313171.4,ERR,HTTP Error 404: Not Found,,,
1787313176.8,ERR,HTTP Error 404: Not Found,,,
1787313182.2,ERR,HTTP Error 404: Not Found,,,
1787313187.5,ERR,HTTP Error 404: Not Found,,,
1787313192.9,ERR,HTTP Error 404: Not Found,,,
1787313198.2,ERR,HTTP Error 404: Not Found,,,
1787313203.7,ERR,HTTP Error 404: Not Found,,,
1787313209.0,ERR,HTTP Error 404: Not Found,,,
1787313214.4,ERR,HTTP Error 404: Not Found,,,
1787313219.8,ERR,HTTP Error 404: Not Found,,,
1787313225.1,ERR,HTTP Error 404: Not Found,,,
1787313230.5,ERR,HTTP Error 404: Not Found,,,
1787313235.8,ERR,HTTP Error 404: Not Found,,,
1787313241.2,ERR,HTTP Error 404: Not Found,,,
1787313246.5,ERR,HTTP Error 404: Not Found,,,
1787313251.9,ERR,HTTP Error 404: Not Found,,,
1787313257.2,ERR,HTTP Error 404: Not Found,,,
1787313262.6,ERR,HTTP Error 404: Not Found,,,
1787313268.0,ERR,HTTP Error 404: Not Found,,,
1787313273.3,ERR,HTTP Error 404: Not Found,,,
1787313278.7,ERR,HTTP Error 404: Not Found,,,
1787313284.0,ERR,HTTP Error 404: Not Found,,,
1787313289.4,ERR,HTTP Error 404: Not Found,,,
1787313294.7,ERR,HTTP Error 404: Not Found,,,
1787313300.1,ERR,HTTP Error 404: Not Found,,,
1787313305.5,ERR,HTTP Error 404: Not Found,,,
1787313310.8,ERR,HTTP Error 404: Not Found,,,
1787313316.2,ERR,HTTP Error 404: Not Found,,,
1787313321.6,ERR,HTTP Error 404: Not Found,,,
1787313326.9,ERR,HTTP Error 404: Not Found,,,
1787313332.3,ERR,HTTP Error 404: Not Found,,,
1787313337.7,ERR,HTTP Error 404: Not Found,,,
1787313343.0,ERR,HTTP Error 404: Not Found,,,
1787313348.4,ERR,HTTP Error 404: Not Found,,,
1787313353.8,ERR,HTTP Error 404: Not Found,,,
1787313359.2,ERR,HTTP Error 404: Not Found,,,
1787313364.6,ERR,HTTP Error 404: Not Found,,,
1787313369.9,ERR,HTTP Error 404: Not Found,,,
1787313375.3,ERR,HTTP Error 404: Not Found,,,
1787313380.7,ERR,HTTP Error 404: Not Found,,,
1787313386.0,ERR,HTTP Error 404: Not Found,,,
1787313391.4,ERR,HTTP Error 404: Not Found,,,
1787313396.7,ERR,HTTP Error 404: Not Found,,,
1787313402.1,ERR,HTTP Error 404: Not Found,,,
1787313407.4,ERR,HTTP Error 404: Not Found,,,
1787313412.8,ERR,HTTP Error 404: Not Found,,,
1787313418.1,ERR,HTTP Error 404: Not Found,,,
1787313423.5,ERR,HTTP Error 404: Not Found,,,
1787313428.9,ERR,HTTP Error 404: Not Found,,,
1787313434.2,ERR,HTTP Error 404: Not Found,,,
1787313439.5,ERR,HTTP Error 404: Not Found,,,
1787313444.9,ERR,HTTP Error 404: Not Found,,,
1787313450.3,ERR,HTTP Error 404: Not Found,,,
1787313455.6,ERR,HTTP Error 404: Not Found,,,
1787313461.0,ERR,HTTP Error 404: Not Found,,,
1787313466.3,ERR,HTTP Error 404: Not Found,,,
1787313471.7,ERR,HTTP Error 404: Not Found,,,
1787313477.1,ERR,HTTP Error 404: Not Found,,,
1787313482.5,ERR,HTTP Error 404: Not Found,,,
1787313487.8,ERR,HTTP Error 404: Not Found,,,
1787313493.2,ERR,HTTP Error 404: Not Found,,,
1787313498.5,ERR,HTTP Error 404: Not Found,,,
1787313503.9,ERR,HTTP Error 404: Not Found,,,
1787313509.2,ERR,HTTP Error 404: Not Found,,,
1787313514.5,ERR,HTTP Error 404: Not Found,,,
